title,aired,members,popularity,ranked
Boku no Hero Academia 3rd Season,"Apr 7, 2018 to Sep 29, 2018",781026,60,76
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"Jan 10, 2015 to Jun 20, 2015",358542,265,77
Saiki Kusuo no Ψ-nan 2,"Jan 17, 2018 to Jun 27, 2018",180322,610,78
Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,30-Aug-19,116409,970,78
Tenki no Ko,19-Jul-19,130051,870,80
Zoku Owarimonogatari,10-Nov-18,92016,1194,81
Rainbow: Nisha Rokubou no Shichinin,"Apr 7, 2010 to Sep 29, 2010",247989,402,82
Steins;Gate 0,"Apr 12, 2018 to Sep 27, 2018",420190,191,83
Hotaru no Haka,16-Apr-88,320630,301,84
Mo Dao Zu Shi,"Jul 9, 2018 to Oct 6, 2018",76350,1418,85
One Piece,"Oct 20, 1999 to ?",948342,35,86
Slam Dunk,"Oct 16, 1993 to Mar 23, 1996",150652,735,87
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,20-Apr-13,361969,252,88
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"Jan 1, 2004 to Jan 8, 2005",173629,626,88
Gintama.: Porori-hen,"Oct 2, 2017 to Dec 25, 2017",87249,1248,90
Mob Psycho 100,"Jul 11, 2016 to Sep 27, 2016",804491,56,91
Neon Genesis Evangelion: The End of Evangelion,19-Jul-97,402617,208,92
No Game No Life: Zero,15-Jul-17,412183,200,93
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Apr 15, 2011 to Jun 24, 2011",849794,48,94
Aria The Origination,"Jan 8, 2008 to Apr 1, 2008",84686,1286,95
Gintama Movie 1: Shinyaku Benizakura-hen,24-Apr-10,91615,1180,96
Nichijou,"Apr 3, 2011 to Sep 25, 2011",497276,137,97
Saiki Kusuo no Ψ-nan,"Jul 4, 2016 to Dec 26, 2016",306640,320,98
Samurai Champloo,"May 20, 2004 to Mar 19, 2005",692588,70,99
Boku dake ga Inai Machi,"Jan 8, 2016 to Mar 25, 2016",954354,36,100
